edgeUID,osmId,TrailNumber,TrailName,Subsection,Segment_with_trail_counter,Include,Notes
348369834,301419385,534,Bridger Foothills,Middle Cottonwood to Bostwick,0,1,Uphill from intersection of Middle Cottonwood
348370144,1010342990,526,Upper Brackett Creek,,0,1,
348370861,39516185,500,Fairy Creek,,0,1,
348369829,164274648,513,Bridger Ridge,M to Baldy,0,1,
348370072,1010342989,534,Bridger Foothills,Bostwick to Truman,0,1,South of intersection with Truman
348371266,428111326,499,Fairy Lakeshore,,0,1,
348371274,823526858,540,Shafthouse Hill,Upper Shafthouse,0,1,
348371282,39084420,527,Carrol Creek,,1,1,
348370150,1010343003,525,S Fork Brackett Creek,,0,1,
348371230,1010342999,544,Corbly Gulch,,0,1,
348371202,5547987,2512,Johnson Canyon Jeep Trail,,0,1,
348371343,823526858,540,Shafthouse Hill,Lower Shafthouse,1,1,
348370827,5548407,539,E Bridger North,,0,1,Adjacent road
348369808,301419386,586,Middle Cottonwood,,0,1,Trailhead at very bottom
348371331,39084420,527,Carrol Creek,,0,1,
348371186,619915840,545,North Cottonwood,North Cottonwood to Johnson Canyon,0,1,
348369692,72120000,534,Bridger Foothills,College M,0,1,lollipop at bottom of M complex
348370067,1010343000,539,E Bridger North,,0,1,
348370052,1010342985,535,Truman Gulch,,0,1,Next segment uphill from TH
348371528,39516185,500,Fairy Creek,,0,1,
348369716,576012337,511,College M,,0,1,Part to M benches
348369838,164274648,513,Bridger Ridge,M to Baldy,0,1,
348369740,304462180,531,Sypes Canyon,,1,1,Trailhead up a ways
348369745,304462180,531,Sypes Canyon,,0,1,Just downhill from 34836744
348370133,833618782,513,Bridger Ridge,Ross Pass to Sacagawea Peak,0,1,
348369744,824032014,531,Sypes Canyon,,0,1,Just downhill from 34836743
348370071,1010342985,535,Truman Gulch,,0,1,
348371362,5548557,2514,Felix Canyon Rd,,0,1,
348371386,5548547,2514,Felix Canyon Rd,,0,1,
348369817,826245578,586,Middle Cottonwood,,0,1,Creek crossing
348370146,1010343003,525,S Fork Brackett Creek,,0,1,
348371290,823526858,540,Shafthouse Hill,Upper Shafthouse,0,1,
348370143,1010342990,526,Upper Brackett Creek,,0,1,
348371240,256661236,513,Bridger Ridge,Sacagawea Peak to Sacagawea Pass,0,1,
348370078,1010342989,534,Bridger Foothills,Truman to Jones,0,1,Intersection with Jones Crk south
348371214,1010343004,2512,Johnson Canyon Jeep Trail,,0,1,Tara
348369826,164274659,531,Sypes Canyon,,0,1,From 4-way toward Baldy
348370148,39749581,551,Ross Pass,,0,1,
348370139,39749581,551,Ross Pass,,0,1,
348370129,1010342992,534,Bridger Foothills,Jones to Ross Pass,0,1,North of Jones Creek
348371329,823526858,540,Shafthouse Hill,Upper Shafthouse,0,1,
348371168,828232797,544,Corbly Gulch,,0,1,
348370088,1010342981,530,Raptor View,,0,1,Tara
348370126,833618782,513,Bridger Ridge,Ross Pass to Sacagawea Peak,0,1,
348371210,1010343013,545,North Cottonwood,North Cottonwood to Ridge,0,1,
348369820,301419385,534,Bridger Foothills,Sypes to Middle Cottonwood,0,1,"North from 4-way w/Sypes Trail, toward Middle Cottonwood"
348370817,835837707,539,E Bridger North,,0,1,
348369825,164274648,513,Bridger Ridge,M to Baldy,0,1,
348369751,72120000,534,Bridger Foothills,College M to Sypes,0,1,Climb to 4-way
348369818,826245575,586,Middle Cottonwood,,1,1,
348370124,833618782,513,Bridger Ridge,Ross Pass to Sacagawea Peak,0,1,
348371434,63942066,542,S Fork Flathead Creek,,1,1,
348371246,256661237,518,Sacagawea Pass,,0,1,
348369711,304462179,511,College M,,0,1,Popular way
348371205,5548744,2512,Johnson Canyon Jeep Trail,,0,1,
348370083,835113209,513,Bridger Ridge,Bridger,0,1,
348369727,164274648,513,Bridger Ridge,M to Baldy,0,1,
348371265,1010342987,501,Fairy Lake,,0,1,
348371241,1010342999,544,Corbly Gulch,,0,1,
348371322,39084419,6984,Benchmark Road,,0,1,
348369836,301419385,534,Bridger Foothills,Middle Cottonwood to Bostwick,0,1,Uphill from intersection of Middle Cottonwood
348370073,1010342998,535,Truman Gulch,,0,1,Intersection w/Bridger Foothills Trail
348370036,5549298,544,Corbly Gulch,,0,1,Access road
348371239,256661236,513,Bridger Ridge,Sacagawea Peak to Sacagawea Pass,0,1,
348370600,5549653,538,E Bridger South,,1,1,
348369742,824032013,531,Sypes Canyon,,0,1,"Up high, about 1/2 mile before 4-way"
348371336,39084420,527,Carrol Creek,,0,1,
348369811,826245574,586,Middle Cottonwood,,0,1,Left fork on trail near trailhead. I don't remember this
348369708,72120000,511,Bridger Foothills,College M,0,1,flat way btw 2nd cutoff and foothills trail intersection
348371195,1010343010,545,North Cottonwood,North Cottonwood to Johnson Canyon,0,1,
348369750,72120000,534,Bridger Foothills,College M to Sypes,0,1,Bottom of canyon
348370132,63942068,513,Bridger Ridge,Ross Pass to Sacagawea Peak,0,1,
348370076,1010342989,534,Bridger Foothills,Truman to Jones,0,1,Between Jones Crk and Truman Gulch
348371260,1010342994,499,Fairy Lakeshore,,0,1,
348369837,1010343017,534,Bridger Foothills,Middle Cottonwood to Bostwick,0,1,Uphill from intersection of Middle Cottonwood
348369799,164274648,513,Bridger Ridge,M to Baldy,0,1,
348370145,835113209,513,Bridger Ridge,Bridger to Ross Pass,0,1,
348371204,5552570,2512,Johnson Canyon Jeep Trail,,1,1,
348369728,164274648,513,Bridger Ridge,M to Baldy,1,1,
348371350,5548557,2514,Felix Canyon Rd,,0,1,
348371407,5549478,523,Horsethief Mountain,,0,1,FS 523
348370688,835837711,539,E Bridger North,,0,1,
348371215,5547987,2512,Johnson Canyon Jeep Trail,,0,1,
348371281,371586380,500,Fairy Creek,,0,1,
348370033,5553005,544,Corbly Gulch,,0,1,Lower parking area
348370059,164274648,513,Bridger Ridge,Baldy to Bridger,0,1,
348371163,619915838,546,North Cottonwood Access,,1,1,
348371334,823526858,540,Shafthouse Hill,Upper Shafthouse,0,1,
348371256,39516446,500,Fairy Creek,,0,1,
348371377,5549015,2514,Felix Canyon Rd,,0,1,
348369809,301419386,586,Middle Cottonwood,,0,1,Right fork on trail near trailhead. I don't remember this
348371233,833618782,534,Bridger Foothills,Ross Pass to Sacagawea Pass,0,1,FS 534
348369823,301419385,534,Bridger Foothills,Middle Cottonwood to Bostwick,0,1,Uphill from intersection of Middle Cottonwood
348370094,1010342981,530,Raptor View,,0,1,
348371262,39516446,500,Fairy Creek,,1,1,
348371356,1010343015,528,Felix Canyon Trail,,0,1,Johnson Canyon to Flathead Pass connector
348371390,5548744,2512,Johnson Canyon Jeep Trail,,0,1,
348371529,39516185,500,Fairy Creek,,0,1,
348371289,1010343013,545,North Cottonwood,North Cottonwood to Ridge,0,1,
348370131,833618782,513,Bridger Ridge,Ross Pass to Sacagawea Peak,0,1,
348371199,5548509,2512,Johnson Canyon Jeep Trail,,0,1,
348371226,828232797,544,Corbly Gulch,,0,1,
348369726,356310875,513,Bridger Ridge,Steep Way,0,1,Steep way toward Baldy
348370690,835837711,539,E Bridger North,,0,1,
348369749,824032013,531,Sypes Canyon,,0,1,Just below 4-way
348371169,828232797,544,Corbly Gulch,,0,1,
348371254,39516446,500,Fairy Creek,,0,1,
348369810,826245576,586,Middle Cottonwood,,0,1,Right fork on trail near trailhead. I don't remember this
348371249,256661237,518,Sacagawea Pass,,0,1,
348371231,833618782,534,Bridger Foothills,Ross Pass to Sacagawea Pass,0,1,FS 534
348369710,164274646,512,M shortcut,,0,1,
348369821,301419385,534,Bridger Foothills,Sypes to Middle Cottonwood,0,1,To intersection w/Middle Cottonwood
348370155,1010342990,526,Upper Brackett Creek,,0,1,
348370069,1010342985,535,Truman Gulch,,0,1,
348371321,39084419,6984,Benchmark Road,,0,1,
348371187,1010343010,545,North Cottonwood,North Cottonwood to Johnson Canyon,0,1,
348371280,371586380,500,Fairy Creek,,0,1,
348370068,1010343000,539,E Bridger North,,0,1,
348370093,1010343000,539,E Bridger North,,0,1,
348370136,1010342990,526,Upper Brackett Creek,,0,1,
348371229,1010342999,544,Corbly Gulch,,0,1,
348369718,304462179,511,College M,,0,1,Popular way from intersection w/foothills trail to shortcut
348371263,823526859,499,Fairy Lakeshore,,0,1,
348370103,835113209,513,Bridger Ridge,Bridger,0,1,
348371212,5548510,2512,Johnson Canyon Jeep Trail,,0,1,
348371207,1010343013,545,North Cottonwood,North Cottonwood to Ridge,0,1,
348370130,835113209,513,Bridger Ridge,Bridger to Ross Pass,0,1,
348371211,1010343010,545,North Cottonwood,North Cottonwood to Johnson Canyon,0,1,
348371327,39077885,6984,Benchmark Road,,0,1,
348370815,376539976,539,E Bridger North,,1,1,
348369842,164274648,513,Bridger Ridge,Baldy to Bridger,0,1,
348370092,1010342981,530,Raptor View,,0,1,Tara
348371255,39516446,500,Fairy Creek,,0,1,
348371339,823526858,540,Shafthouse Hill,Lower Shafthouse,0,1,
348370061,833615845,513,Bridger Ridge,Bridger,0,1,
348370814,835837708,539,E Bridger North,,1,1,
348371235,1010342999,544,Corbly Gulch,,0,1,
348370819,5549453,539,E Bridger North,,0,1,
348370128,1010342989,534,Bridger Foothills,Jones to Ross Pass,0,1,North of Jones Creek
348369815,164274659,531,Sypes Canyon,,0,1,From 4-way toward Baldy
348369827,164274648,513,Bridger Ridge,M to Baldy,0,1,
348371237,256661236,513,Bridger Ridge,Sacagawea Peak to Sacagawea Pass,0,1,
348370149,39749581,551,Ross Pass,,1,1,
348371261,428111326,501,Fairy Lake Shortcut,,0,1,
348371273,823526858,540,Shafthouse Hill,Upper Shafthouse,0,1,
348371527,39516185,500,Fairy Creek,,0,1,
348371192,1010343010,545,North Cottonwood,North Cottonwood to Johnson Canyon,0,1,
348371216,5548744,2512,Johnson Canyon Jeep Trail,,0,1,
348371270,371586380,500,Fairy Creek,,0,1,Just downhill from counter
348370070,1010342985,535,Truman Gulch,,0,1,
348371170,1010343013,545,North Cottonwood,North Cottonwood to Ridge,0,1,
348371278,39084420,527,Carrol Creek,,0,1,
348371380,5549183,2514,Felix Canyon Rd,,0,1,
348371167,619915838,546,North Cottonwood Access,,0,1,
348369831,164274648,513,Bridger Ridge,M to Baldy,0,1,
348371379,5549015,2514,Felix Canyon Rd,,0,1,
348371203,5548509,2512,Johnson Canyon Jeep Trail,,0,1,
348371188,619915839,545,North Cottonwood,North Cottonwood to Johnson Canyon,0,1,
348369824,807018322,513,Bridger Ridge,M to Baldy,0,1,
348370693,129611854,538,E Bridger South,,0,1,?? This is the parking lot
348371337,39084420,527,Carrol Creek,,0,1,
348370135,1010342992,534,Bridger Foothills,Jones to Ross Pass,0,1,South of Ross Pass
348369822,826245577,586,Middle Cottonwood,,0,1,To intersection w/Bridger Foothills Trail
348369814,164274659,531,Sypes Canyon,,0,1,From 4-way toward Baldy
348370153,833618782,513,Bridger Ridge,Ross Pass to Sacagawea Peak,0,1,
348371381,5548547,2514,Felix Canyon Rd,,0,1,
348370810,1010343007,539,E Bridger North,,0,1,
348371209,1010343010,545,North Cottonwood,North Cottonwood to Johnson Canyon,0,1,
348371335,823526858,540,Shafthouse Hill,Lower Shafthouse,0,1,
348370154,833618782,513,Bridger Ridge,Ross Pass to Sacagawea Peak,0,1,
348370601,5549653,538,E Bridger South,,1,1,
348370080,833615845,513,Bridger Ridge,Bridger,0,1,
348369715,164274647,513,Bridger Ridge,Steep Way,0,1,Top segment
348369798,164274648,513,Bridger Ridge,M to Baldy,0,1,
348371257,39516446,500,Fairy Creek,,0,1,
348370082,833615845,513,Bridger Ridge,Bridger,0,1,
348369841,164274648,513,Bridger Ridge,Baldy to Bridger,0,1,
348370034,5553005,544,Corbly Gulch,,0,1,Access road
348371536,39516185,500,Fairy Creek,,0,1,
348370813,5548407,539,E Bridger North,,1,1,
348371185,619915838,546,North Cottonwood Access,,0,1,
348371408,5549478,523,Horsethief Mountain,,0,1,FS 523
348370134,1010342992,534,Bridger Foothills,Jones to Ross Pass,0,1,South of Ross Pass
348370628,1010342981,530,Raptor View,,0,1,
348371338,39084420,527,Carrol Creek,,0,1,
348369830,164274648,513,Bridger Ridge,M to Baldy,0,1,
348371285,39084420,527,Carrol Creek,,1,1,
348371284,371586380,500,Fairy Creek,,0,1,
348371341,39084419,6984,Benchmark Road,,0,1,
348370060,833615845,513,Bridger Ridge,Bridger,0,1,
348369747,72120000,534,Bridger Foothills,College M to Sypes,0,1,Just uphill from 348369746
348369813,301419385,534,Bridger Foothills,Sypes to Middle Cottonwood,0,1,North from 4-way w/Sypes Trail
348369816,301419385,534,Bridger Foothills,Sypes to Middle Cottonwood,0,1,"North from 4-way w/Sypes Trail, toward Middle Cottonwood"
348370158,1010342990,526,Upper Brackett Creek,,0,1,
348369748,164274648,513,Bridger Ridge,M to Baldy,0,1,
348369712,164274646,512,M shortcut,,0,1,
348371208,1010343010,545,North Cottonwood,North Cottonwood to Johnson Canyon,0,1,
348370084,835113209,513,Bridger Ridge,Bridger,0,1,
348369709,956338078,512,M shortcut,,0,1,btw second cutoff and popular way.
348371288,39084420,527,Carrol Creek,,0,1,
348369819,301419385,534,Bridger Foothills,Sypes to Middle Cottonwood,0,1,"North from 4-way w/Sypes Trail, toward Middle Cottonwood"
348370051,1010342985,535,Truman Gulch,,1,1,Trailhead
348370147,1010343003,525,S Fork Brackett Creek,,0,1,
348370156,1010342990,526,Upper Brackett Creek,,0,1,
348370159,39516447,500,Fairy Creek,,0,1,
348371234,835113208,513,Bridger Ridge,Ross Pass to Sacagawea Peak,0,1,
348369752,824032013,531,Sypes Canyon,,0,1,Just below 4-way
348370035,828232797,544,Corbly Gulch,,1,1,Lowest part of trail
348369714,304462179,511,College M,,1,1,
348370811,1010343007,539,E Bridger North,,0,1,
348370660,5549431,538,E Bridger South,,0,1,
348369693,164274647,513,Bridger Ridge,Steep Way,1,1,
348371227,828232797,544,Corbly Gulch,,0,1,
348371312,39084419,6984,Benchmark Road,,0,1,
348371340,39084420,527,Carrol Creek,,0,1,
348371264,1010343014,499,Fairy Lakeshore,,0,1,
348371232,835113208,513,Bridger Ridge,Ross Pass to Sacagawea Peak,0,1,
348371275,823526858,540,Shafthouse Hill,Upper Shafthouse,0,1,
348371206,1010343010,545,North Cottonwood,North Cottonwood to Johnson Canyon,0,1,
348371228,828232797,544,Corbly Gulch,,0,1,
348371388,1010342983,528,Felix Canyon Trail,,0,1,Felix Canyon to Flathead Pass
348369746,72120000,534,Bridger Foothills,College M to Sypes,0,1,Just uphill from 348369725
348371333,39084420,527,Carrol Creek,,0,1,
348371189,1010343010,545,North Cottonwood,North Cottonwood to Johnson Canyon,0,1,
348371403,5549478,523,Horsethief Mountain,,1,1,FS 523
348370141,835113209,513,Bridger Ridge,Bridger to Ross Pass,0,1,
348371166,619915838,546,North Cottonwood Access,,0,1,
348369743,824032013,531,Sypes Canyon,,0,1,Just downhill from 34836744
348370127,1010342989,534,Bridger Foothills,Jones to Ross Pass,0,1,North of Jones Creek
348369725,72120000,534,Bridger Foothills,College M to Sypes,1,1,Intersection w/popular way up M
348369828,164274659,531,Sypes Canyon,,0,1,From 4-way toward Baldy
348369835,301419385,534,Bridger Foothills,Middle Cottonwood to Bostwick,0,1,Uphill from intersection of Middle Cottonwood
348369705,72120000,511,Bridger Foothills,College M,0,1,"""flat"" way to intersection w/Foothills Trl"
348371196,1010343010,545,North Cottonwood,North Cottonwood to Johnson Canyon,0,1,
348371326,39077885,6984,Benchmark Road,,0,1,
348371197,1010343010,545,North Cottonwood,North Cottonwood to Johnson Canyon,1,1,Johnson Canyon intersection
348371342,39084419,6984,Benchmark Road,,0,1,
348370161,39516447,500,Fairy Creek,,0,1,
348370142,39749581,551,Ross Pass,,0,1,
348371242,833618782,534,Bridger Foothills,Ross Pass to Sacagawea Pass,0,1,FS 534
348369812,826245575,586,Middle Cottonwood,,0,1,Right fork on trail near trailhead. I don't remember this
348370138,63942068,534,Bridger Foothills,Jones to Ross Pass,0,1,South of Ross Pass
348371354,5548744,2512,Johnson Canyon Jeep Trail,,0,1,
348370679,835837711,539,E Bridger North,,0,1,
348343888,365144670,50,New World Gulch,,0,1,
348343874,319295222,50,New World Gulch,,0,1,
348343889,319295222,50,New World Gulch,,0,1,
348343875,319295222,50,New World Gulch,,0,1,
348343893,319295221,50,New World Gulch,,1,1,
348343872,319295222,50,New World Gulch,,0,1,
348370692,5549431,538,E Bridger South,,0,1,Tara
348371223,5548744,2512,Johnson Canyon Jeep Trail,,0,1,Tara
348370816,63942062,539,E Bridger North,,0,1,Tara
348371399,136050661,523,Horsethief Mountain,,0,1,Tara
348371389,1010343019,528,Felix Canyon Trail,,0,1,Tara
348370098,810027782,530,Raptor View,,0,1,Tara
348370089,810373242,530,Raptor View,,0,1,Tara
348371424,1010343006,523,Horsethief Mountain,,0,1,Tara
348371218,1010343004,2512,Johnson Canyon Jeep Trail,,0,1,Tara
348370086,810027782,530,Raptor View,,0,1,Tara
348371245,1010343013,545,North Cottonwood,Upper North Cottonwood to Ridge,0,1,Tara
348371313,39077884,542,S Fork Flathead Creek,,0,1,Tara
348370056,1010342989,534,Bridger Foothills,Middle Cottonwood to Bostwick,0,1,Tara
348371436,63942066,542,S Fork Flathead Creek,,0,1,Tara
348370602,5548016,538,E Bridger South,,0,1,Tara
348370074,1010342989,534,Bridger Foothills,Truman to Jones,0,1,Tara
348371393,1010342997,528,Felix Canyon Trail,,0,1,Tara
348370596,1010342988,537,Bridger Bowl,,0,1,Tara
348370090,810373241,530,Raptor View,,0,1,Tara
348371425,1010343018,523,Horsethief Mountain,,0,1,Tara
348370087,810027783,530,Raptor View,,0,1,Tara
348371221,1010343016,2512,Johnson Canyon Jeep Trail,,0,1,Tara
348371217,1010343004,2512,Johnson Canyon Jeep Trail,,0,1,Tara
348371431,1010343006,523,Horsethief Mountain,,0,1,Tara
348371201,5548509,2512,Johnson Canyon Jeep Trail,,0,1,Tara
348370095,1010342981,530,Raptor View,,0,1,Tara
348371427,1010343018,523,Horsethief Mountain,,0,1,Tara
348371314,39077884,542,S Fork Flathead Creek,,0,1,Tara
348371219,5548744,2512,Johnson Canyon Jeep Trail,,0,1,Tara
348371236,1010343013,545,North Cottonwood,Upper North Cottonwood to Ridge,0,1,Tara
348371243,1010343013,545,North Cottonwood,Upper North Cottonwood to Ridge,0,1,Tara
348370630,810030254,538,E Bridger South,,0,1,Tara
348370807,835837711,539,E Bridger North,,0,1,Tara
348370140,63942068,513,Bridger Ridge,Bridger to Ross Pass,0,1,Tara
348371220,5548744,2512,Johnson Canyon Jeep Trail,,0,1,Tara
348371387,5548547,2514,Felix Canyon Rd,,0,1,Tara
348371306,39077884,542,S Fork Flathead Creek,,0,1,Tara
348371247,1010342986,518,Sacagawea Pass,,0,1,Tara
348370668,436148551,538,E Bridger South,,0,1,Tara
348370096,810027782,530,Raptor View,,0,1,Tara
348371374,1010342997,528,Felix Canyon Trail,,0,1,Tara
348370593,5549653,538,E Bridger South,,0,1,Tara
348371375,5549034,528,Felix Canyon Trail,,0,1,Tara
348371429,1010343006,523,Horsethief Mountain,,0,1,Tara
348371357,1010343015,528,Felix Canyon Trail,,0,1,Tara
348371238,1010343013,545,North Cottonwood,Upper North Cottonwood to Ridge,0,1,Tara
348371433,63942066,542,S Fork Flathead Creek,,0,1,Tara
348371372,1010343015,528,Felix Canyon Trail,,0,1,Tara
348371225,1010343004,2512,Johnson Canyon Jeep Trail,,0,1,Tara
348371224,1010343004,2512,Johnson Canyon Jeep Trail,,0,1,Tara
348371426,1010343006,523,Horsethief Mountain,,0,1,Tara
348370585,5549653,538,E Bridger South,,0,1,Tara
348371304,39077884,542,S Fork Flathead Creek,,0,1,Tara
348370592,810030631,537,Bridger Bowl,,0,1,Tara
348371302,63942066,542,S Fork Flathead Creek,,0,1,Tara
348371428,1010343006,523,Horsethief Mountain,,0,1,Tara
348370125,1010343005,513,Bridger Ridge,Ross Pass to Sacagawea Peak,0,1,Tara
348371307,39077884,542,S Fork Flathead Creek,,0,1,Tara
348370137,63942068,513,Bridger Ridge,Bridger to Ross Pass,0,1,Tara
348370629,129611845,538,E Bridger South,,0,1,Tara
348370058,1010342989,534,Bridger Foothills,Bostwick to Truman,0,1,Tara
348370054,1010342989,534,Bridger Foothills,Middle Cottonwood to Bostwick,0,1,Tara
348370599,129611845,538,E Bridger South,,0,1,Tara
348370633,809976816,538,E Bridger South,,0,1,Tara
348371435,63942066,542,S Fork Flathead Creek,,0,1,Tara
348370097,809978702,530,Raptor View,,0,1,Tara
348371423,1010343006,523,Horsethief Mountain,,0,1,Tara
348371309,39077884,542,S Fork Flathead Creek,,0,1,Tara
348371430,1010343006,523,Horsethief Mountain,,0,1,Tara
348371253,256661237,518,Sacagawea Pass,,0,1,Tara
348371419,1010343006,523,Horsethief Mountain,,0,1,Tara
348370091,1010343002,530,Raptor View,,0,1,Tara
348370102,1010343000,539,E Bridger North,,0,1,Tara
348371345,5534638,540,Shafthouse Hill,Lower Shafthouse,0,1,Tara
348371409,1010343006,523,Horsethief Mountain,,0,1,Tara
348371303,63942066,542,S Fork Flathead Creek,,0,1,Tara
348370079,1010342996,530,Raptor View,,0,1,Tara
348371291,39077884,542,S Fork Flathead Creek,,0,1,Tara
348370594,129611845,537,Bridger Bowl,,0,1,Tara
348370862,39516185,500,Fairy Creek,,0,1,Tara
348371244,1010343013,545,North Cottonwood,Upper North Cottonwood to Ridge,0,1,Tara
348370631,809976814,538,E Bridger South,,0,1,Tara
348370057,1010342989,534,Bridger Foothills,Middle Cottonwood to Bostwick,0,1,Tara
348370678,810046692,539,E Bridger North,,0,0,
348370081,833615845,513,Bridger Ridge,Bridger,0,1,Tara
348370085,1010342981,530,Raptor View,,0,1,Tara
348370639,436148551,538,E Bridger South,,0,1,Tara
348371391,5548744,2512,Johnson Canyon Jeep Trail,,0,1,Tara
237456981,39084420,527,Carrol Creek,,0,1,Tara
237456967,256661236,513,Bridger Ridge,Sacagawea Peak to Sacagawea Pass,0,1,Tara
237457045,5549478,523,Horsethief Mountain,,0,1,Tara
237455995,164274646,512,M shortcut,,0,1,Tara
237456565,129611845,538,E Bridger South,,0,1,Tara
237456953,619915838,546,North Cottonwood Access,,0,0,
237455980,72120000,534,Bridger Foothills,College M,0,1,Tara
237456959,5548509,2512,Johnson Canyon Jeep Trail,,0,1,Tara
237456983,39084420,527,Carrol Creek,,0,1,Tara
237456997,39077884,542,S Fork Flathead Creek,,0,1,Tara
237456961,5552570,2512,Johnson Canyon Jeep Trail,,0,1,Tara
237455999,164274648,513,Bridger Ridge,M to Baldy,0,1,Tara
237457032,5549015,2514,Felix Canyon Rd,,0,1,Tara
237456046,164274648,513,Bridger Ridge,M to Baldy,0,1,Tara
237457052,63942066,542,S Fork Flathead Creek,,0,1,Tara
237456978,39084420,527,Carrol Creek,,0,1,Tara
237456995,39077884,542,S Fork Flathead Creek,,0,1,Tara
237456960,5547987,2512,Johnson Canyon Jeep Trail,,0,1,Tara
237456048,301419385,534,Bridger Foothills,Middle Cottonwood to Bostwick,0,1,Tara
237457013,39077885,6984,Benchmark Road,,0,1,Tara
237456564,436148556,538,E Bridger South,,0,1,Tara
237457011,39077885,6984,Benchmark Road,,0,1,Tara
237456680,5548407,539,E Bridger North,,0,1,Tara
237456217,5553005,544,Corbly Gulch,,0,1,Tara
237456044,164274648,513,Bridger Ridge,M to Baldy,0,1,Tara
237456043,301419386,586,Middle Cottonwood,,0,1,Tara
237455994,304462179,511,College M,,0,0,Popular way from intersection w/foothills trail to shortcut
237457009,39084419,6984,Benchmark Road,,0,1,Tara
237457017,39084419,6984,Benchmark Road,,0,1,Tara
237456576,5549431,538,E Bridger South,,0,1,Tara
237457035,5549183,2514,Felix Canyon Rd,,0,1,Tara
237456973,39516446,500,Fairy Creek,,0,1,Tara
237457000,39084419,6984,Benchmark Road,,0,1,Tara
237455996,164274647,513,Bridger Ridge,Steep Way,0,1,Tara
237456992,63942066,542,S Fork Flathead Creek,,0,1,Tara
237456539,5549653,538,E Bridger South,,0,1,Tara
237456957,5548509,2512,Johnson Canyon Jeep Trail,,0,1,Tara
237456954,619915840,545,North Cottonwood,North Cottonwood to Johnson Canyon,0,1,Tara
237455990,72120000,511,Bridger Foothills,College M,0,1,Tara
237456966,5548744,2512,Johnson Canyon Jeep Trail,,0,1,Tara
237457008,39084419,6984,Benchmark Road,,0,1,Tara
237456252,39516447,500,Fairy Creek,,0,1,Tara
237455997,304462179,511,College M,,0,1,Tara
237456045,164274659,531,Sypes Canyon,,0,1,Tara
237456249,39749581,551,Ross Pass,,0,1,Tara
237456962,5548744,2512,Johnson Canyon Jeep Trail,,0,1,Tara
237456975,428111326,501,Fairy Lake Shortcut,,0,1,Tara
237456955,619915839,545,North Cottonwood,North Cottonwood to Johnson Canyon,0,1,Tara
237457003,39077884,542,S Fork Flathead Creek,,0,1,Tara
237457001,39077884,542,S Fork Flathead Creek,,0,1,Tara
237457039,5548547,2514,Felix Canyon Rd,,0,1,Tara
237457034,5548547,2514,Felix Canyon Rd,,0,1,Tara
237456971,256661237,518,Sacagawea Pass,,0,1,Tara
237456000,356310875,513,Bridger Ridge,Steep Way,0,1,Tara
237457023,5548557,2514,Felix Canyon Rd,,0,1,Tara
237456042,301419385,534,Bridger Foothills,Sypes to Middle Cottonwood,0,1,Tara
237456706,39516185,500,Fairy Creek,,0,1,Tara
237457041,136050661,523,Horsethief Mountain,,0,1,Tara
237456540,5548016,538,E Bridger South,,0,1,Tara
237455981,164274647,513,Bridger Ridge,Steep Way,0,1,Tara
237455993,72120000,511,Bridger Foothills,College M,0,1,Tara
237456247,63942068,513,Bridger Ridge,Ross Pass to Sacagawea Peak,0,1,Tara
237457050,63942066,542,S Fork Flathead Creek,,0,1,Tara
237457016,39084420,527,Carrol Creek,,0,1,Tara
237456009,304462180,531,Sypes Canyon,,0,1,Tara
237456538,5549653,538,E Bridger South,,0,1,Tara
237456963,5548510,2512,Johnson Canyon Jeep Trail,,0,1,Tara
237456993,63942066,542,S Fork Flathead Creek,,0,1,Tara
237456979,371586380,500,Fairy Creek,,0,1,Tara
237456675,376539976,539,E Bridger North,,0,1,Tara
237456674,63942062,539,E Bridger North,,0,1,Tara
237455998,576012337,511,College M,,0,1,Tara
237456218,5549298,544,Corbly Gulch,,0,1,Tara
237457130,5534638,540,Shafthouse Hill,Lower Shafthouse,0,1,Tara
237457051,63942066,542,S Fork Flathead Creek,,0,1,Tara
237456248,63942068,513,Bridger Ridge,Bridger to Ross Pass,0,1,Tara
237456008,72120000,534,Bridger Foothills,College M to Sypes,0,1,Tara
348370398,5549653,538,E Bridger South,,0,1,Tara
348370392,5548004,538,E Bridger South,,0,1,Tara
348370396,5549653,538,E Bridger South,,0,1,Tara
348370391,5548004,538,E Bridger South,,0,1,Tara
348369839,5548462,538,E Bridger South,,0,1,Tara
348370394,1010342980,538,E Bridger South,,0,1,Tara
348370585,5549653,538,E Bridger South,,0,1,Tara
348370364,5548159,538,E Bridger South,,0,1,Tara
348370395,1010342993,538,E Bridger South,,0,1,Tara
348370582,5549653,538,E Bridger South,,0,1,Tara
348369840,5548462,538,E Bridger South,,0,1,Tara
348370399,5549075,538,E Bridger South,,0,1,Tara
348370397,5549075,538,E Bridger South,,0,1,Tara
348370393,5549653,538,E Bridger South,,0,1,Tara
237456448,5549075,538,E Bridger South,,0,1,Tara
237456536,5549653,538,E Bridger South,,0,1,Tara
237456445,5548004,538,E Bridger South,,0,1,Tara
237456049,5548462,538,E Bridger South,,0,1,Tara
237456447,5549653,538,E Bridger South,,0,1,Tara
237456446,5548004,538,E Bridger South,,0,1,Tara
